"","Transcrip_name","Compare"
"356","SEFA.7802.13","LongTerm"
"357","SEFA.7802.14","LongTerm"
"358","SEFA.7802.15","LongTerm"
"359","SEFA.7802.16","LongTerm"
"360","SEFA.7802.17","LongTerm"
"361","SEFA.7802.18","LongTerm"
"362","SEFA.7802.19","LongTerm"
"363","SEFA.7802.20","LongTerm"
"364","SEFA.7802.34","LongTerm"
"365","SEFA.7802.37","LongTerm"
"366","SEFA.7802.40","LongTerm"
"367","SEFA.7802.41","LongTerm"
"368","SEFA.7897.1","LongTerm"
"369","SEFA.7897.2","LongTerm"
"370","SEFA.7996.1","LongTerm"
"371","SEFA.7996.2","LongTerm"
"372","SEFA.8057.3","LongTerm"
"373","SEFA.8059.1","LongTerm"
"374","SEFA.8060.1","LongTerm"
"375","SEFA.8060.2","LongTerm"
"376","SEFA.8061.1","LongTerm"
"377","SEFA.8073.1","LongTerm"
"378","SEFA.8177.1","LongTerm"
"379","SEFA.8273.1","LongTerm"
"380","SEFA.8315.1","LongTerm"
"381","SEFA.8383.1","LongTerm"
"382","SEFA.8452.1","LongTerm"
"383","SEFA.8462.1","LongTerm"
"384","SEFA.8501.1","LongTerm"
"385","SEFA.8535.1","LongTerm"
"386","SEFA.8562.1","LongTerm"
"387","SEFA.8564.1","LongTerm"
"388","SEFA.8593.1","LongTerm"
"389","SEFA.8689.1","LongTerm"
"390","SEFA.8697.1","LongTerm"
"391","SEFA.8698.1","LongTerm"
"392","SEFA.8811.1","LongTerm"
"393","SEFA.8928.1","LongTerm"
"394","SEFA.8998.1","LongTerm"
"395","SEFA.9077.1","LongTerm"
"396","SEFA.9095.1","LongTerm"
"397","SEFA.9118.1","LongTerm"
"398","SEFA.9182.1","LongTerm"
"399","SEFA.9186.1","LongTerm"
"400","SEFA.9186.3","LongTerm"
"401","SEFA.9198.1","LongTerm"
"402","SEFA.9199.1","LongTerm"
"403","SEFA.9200.1","LongTerm"
"404","SEFA.9256.1","LongTerm"
"405","SEFA.9256.2","LongTerm"
"406","SEFA.9268.1","LongTerm"
"407","SEFA.9334.1","LongTerm"
"408","SEFA.9334.2","LongTerm"
"409","SEFA.9334.3","LongTerm"
"410","SEFA.9334.4","LongTerm"
"411","SEFA.9367.1","LongTerm"
"412","SEFA.9390.1","LongTerm"
"413","SEFA.9485.1","LongTerm"
"414","SEFA.9508.1","LongTerm"
"415","SEFA.9508.2","LongTerm"
"416","SEFA.9508.3","LongTerm"
"417","SEFA.9508.4","LongTerm"
"418","SEFA.9509.1","LongTerm"
"419","SEFA.9509.2","LongTerm"
"420","SEFA.9509.3","LongTerm"
"421","SEFA.9509.4","LongTerm"
"422","SEFA.9509.5","LongTerm"
"423","SEFA.9509.6","LongTerm"
"424","SEFA.9509.7","LongTerm"
"425","SEFA.9509.8","LongTerm"
"426","SEFA.9509.9","LongTerm"
"427","SEFA.9509.10","LongTerm"
"428","SEFA.9579.1","LongTerm"
"429","SEFA.9606.1","LongTerm"
"430","SEFA.9606.2","LongTerm"
"431","SEFA.9606.3","LongTerm"
"432","SEFA.9606.4","LongTerm"
"433","SEFA.9606.5","LongTerm"
"434","SEFA.9606.6","LongTerm"
"435","SEFA.9606.7","LongTerm"
"436","SEFA.9653.1","LongTerm"
"437","SEFA.9777.1","LongTerm"
"438","SEFA.9777.2","LongTerm"
"439","SEFA.9778.1","LongTerm"
"440","SEFA.9804.1","LongTerm"
"441","SEFA.9822.1","LongTerm"
"442","SEFA.9845.1","LongTerm"
"443","SEFA.9884.1","LongTerm"
"444","SEFA.10009.1","LongTerm"
"445","SEFA.10046.1","LongTerm"
"446","SEFA.10046.2","LongTerm"
"447","SEFA.10046.3","LongTerm"
"448","SEFA.10047.1","LongTerm"
"449","SEFA.10071.1","LongTerm"
"450","SEFA.10158.1","LongTerm"
"451","SEFA.10198.1","LongTerm"
"452","SEFA.10198.2","LongTerm"
"453","SEFA.10247.1","LongTerm"
"454","SEFA.10304.1","LongTerm"
"455","SEFA.10304.2","LongTerm"
"456","SEFA.10345.1","LongTerm"
"457","SEFA.10480.1","LongTerm"
"458","SEFA.10504.1","LongTerm"
"459","SEFA.10608.1","LongTerm"
"460","SEFA.10682.1","LongTerm"
"461","SEFA.10712.1","LongTerm"
"462","SEFA.10732.1","LongTerm"
"463","SEFA.10737.1","LongTerm"
"464","SEFA.10772.1","LongTerm"
"465","SEFA.10772.2","LongTerm"
"466","SEFA.10773.1","LongTerm"
"467","SEFA.10812.1","LongTerm"
"468","SEFA.10853.1","LongTerm"
"469","SEFA.10965.1","LongTerm"
"470","SEFA.10965.2","LongTerm"
"471","SEFA.10965.3","LongTerm"
"472","SEFA.10984.1","LongTerm"
"473","SEFA.11015.1","LongTerm"
"474","SEFA.11064.2","LongTerm"
"475","SEFA.11067.1","LongTerm"
"476","SEFA.11093.1","LongTerm"
"477","SEFA.11093.2","LongTerm"
"478","SEFA.11093.3","LongTerm"
"479","SEFA.11154.1","LongTerm"
"480","SEFA.11154.2","LongTerm"
"481","SEFA.11175.1","LongTerm"
"482","SEFA.11299.1","LongTerm"
"483","SEFA.11301.1","LongTerm"
"484","SEFA.11309.1","LongTerm"
"485","SEFA.11334.1","LongTerm"
"486","SEFA.11340.1","LongTerm"
"487","SEFA.11468.1","LongTerm"
"488","SEFA.11493.1","LongTerm"
"489","SEFA.11505.2","LongTerm"
"490","SEFA.11505.3","LongTerm"
"491","SEFA.11505.4","LongTerm"
"492","SEFA.11600.1","LongTerm"
"493","SEFA.11603.1","LongTerm"
"494","SEFA.11672.1","LongTerm"
"495","SEFA.11688.4","LongTerm"
"496","SEFA.11699.1","LongTerm"
"497","SEFA.11764.1","LongTerm"
"498","SEFA.11933.5","LongTerm"
"499","SEFA.11963.1","LongTerm"
"500","SEFA.11967.1","LongTerm"
"501","SEFA.12087.1","LongTerm"
"502","SEFA.12158.1","LongTerm"
"503","SEFA.12158.2","LongTerm"
"504","SEFA.12199.1","LongTerm"
"505","SEFA.12247.1","LongTerm"
"506","SEFA.12247.2","LongTerm"
"507","SEFA.12303.1","LongTerm"
"508","SEFA.12328.1","LongTerm"
"509","SEFA.12348.1","LongTerm"
"510","SEFA.12349.1","LongTerm"
"511","SEFA.12426.1","LongTerm"
"512","SEFA.12492.1","LongTerm"
"513","SEFA.12539.2","LongTerm"
"514","SEFA.12539.3","LongTerm"
"515","SEFA.12550.1","LongTerm"
"516","SEFA.12551.1","LongTerm"
"517","SEFA.12551.2","LongTerm"
"518","SEFA.12551.3","LongTerm"
"519","SEFA.12551.4","LongTerm"
"520","SEFA.12551.5","LongTerm"
"521","SEFA.12551.6","LongTerm"
"522","SEFA.12551.7","LongTerm"
"523","SEFA.12551.8","LongTerm"
"524","SEFA.12563.1","LongTerm"
"525","SEFA.12563.2","LongTerm"
"526","SEFA.12563.3","LongTerm"
"527","SEFA.12563.4","LongTerm"
"528","SEFA.12563.5","LongTerm"
"529","SEFA.12563.6","LongTerm"
"530","SEFA.12563.7","LongTerm"
"531","SEFA.12563.8","LongTerm"
"532","SEFA.12563.9","LongTerm"
"533","SEFA.12584.1","LongTerm"
"534","SEFA.12584.2","LongTerm"
"535","SEFA.12699.1","LongTerm"
"536","SEFA.12701.1","LongTerm"
"537","SEFA.12748.1","LongTerm"
"538","SEFA.12785.1","LongTerm"
"539","SEFA.12785.2","LongTerm"
"540","SEFA.12785.3","LongTerm"
"541","SEFA.12794.1","LongTerm"
"542","SEFA.12817.1","LongTerm"
"543","SEFA.12849.1","LongTerm"
"544","SEFA.12905.3","LongTerm"
"545","SEFA.12907.1","LongTerm"
"546","SEFA.12981.1","LongTerm"
"547","SEFA.12981.2","LongTerm"
"548","SEFA.12981.3","LongTerm"
"549","SEFA.13030.1","LongTerm"
"550","SEFA.13048.1","LongTerm"
"551","SEFA.13330.1","LongTerm"
"552","SEFA.13336.1","LongTerm"
"553","SEFA.13337.1","LongTerm"
"554","SEFA.13337.2","LongTerm"
"555","SEFA.13337.3","LongTerm"
"556","SEFA.13419.1","LongTerm"
"557","SEFA.13428.1","LongTerm"
"558","SEFA.13443.1","LongTerm"
"559","SEFA.13490.1","LongTerm"
"560","SEFA.13490.2","LongTerm"
"561","SEFA.13490.3","LongTerm"
"562","SEFA.13491.1","LongTerm"
"563","SEFA.13491.2","LongTerm"
"564","SEFA.13491.3","LongTerm"
"565","SEFA.13491.4","LongTerm"
"566","SEFA.13491.5","LongTerm"
"567","SEFA.13491.6","LongTerm"
"568","SEFA.13491.7","LongTerm"
"569","SEFA.13491.8","LongTerm"
"570","SEFA.13491.9","LongTerm"
"571","SEFA.13491.10","LongTerm"
"572","SEFA.13491.11","LongTerm"
"573","SEFA.13491.12","LongTerm"
"574","SEFA.13491.13","LongTerm"
"575","SEFA.13491.14","LongTerm"
"576","SEFA.13491.15","LongTerm"
"577","SEFA.13491.16","LongTerm"
