"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","test"
"SEFA.15579",8.35660990490445,0.737211550368399,0.253878571509696,2.9037958815687,0.00368668431026174,0.0375093004954039,"sampling"
"SEFA.15621",5.88296268332442,1.25308614799769,0.434898148560467,2.88133245024256,0.00395997712298466,0.0392922434622766,"sampling"
"SEFA.15646",16.1629576761147,0.615085783542812,0.2039737423354,3.01551452897996,0.00256543647741388,0.0297841342613373,"sampling"
"SEFA.15681",3.69231839805364,1.04726886815161,0.297258449935643,3.52309200420827,0.000426543262715195,0.00980924405412363,"sampling"
"SEFA.15701",368.884566400832,0.514461644997549,0.164926093801344,3.11934656996864,0.00181252630799089,0.0239210058851013,"sampling"
"SEFA.15703",86.3572623328558,0.684645884988014,0.17081750408113,4.00805461167984,6.12209653167706e-05,0.002901742098025,"sampling"
"SEFA.15912",27.0355122513216,0.516584317974426,0.153482723241059,3.36574897203956,0.00076336143135346,0.0138188796279509,"sampling"
"SEFA.15945",5.5417765000559,0.512278445006999,0.177216438020142,2.89069372305505,0.00384392537618708,0.0386188559731799,"sampling"
"SEFA.16116",37.7707623909055,0.553593636452962,0.181038960437351,3.05787016847423,0.00222916133019556,0.0273518250341045,"sampling"
"SEFA.16139",183.757667012258,0.748796201018372,0.19579229699006,3.82444157676125,0.00013106882066391,0.00475515523857213,"sampling"
"SEFA.16206",19.3715531097187,0.561542654470516,0.16245186374464,3.45667105028239,0.00054689199776602,0.0110964323413239,"sampling"
"SEFA.16221",8.29160562527975,1.26943950188313,0.356715842690833,3.55868551367751,0.000372715489280173,0.00906444069929381,"sampling"
"SEFA.16239",5.38321071963756,-0.670450788620817,0.182130179046494,-3.68116251864917,0.000232172951009409,0.00682283510851435,"sampling"
"SEFA.16240",2.94621894089974,-0.896652387617181,0.2669217699993,-3.35923288542381,0.000781591703555771,0.0139814332332457,"sampling"
"SEFA.16309",4.56029175773678,-0.637140894390734,0.217119754835389,-2.93451369670986,0.00334070808814249,0.0353773964024795,"sampling"
"SEFA.16433",33.1020493598624,-0.595423228653422,0.122339790875386,-4.86696294306987,1.13326267959195e-06,0.000178407924701476,"sampling"
"SEFA.16436",6.23150373400531,-0.905012522921058,0.295222518233418,-3.06552673670207,0.00217286949256128,0.0269993198681047,"sampling"
"SEFA.16532",13.7635873895114,0.847322052535841,0.270269668511997,3.13509857469718,0.00171796372924841,0.0231746633423717,"sampling"
"SEFA.16540",928.809774581023,0.819249476411858,0.289763191698379,2.82730691779731,0.00469413138092686,0.0435844784141666,"sampling"
"SEFA.16578",4000.61781240425,-0.550241412646427,0.157682346466682,-3.48955621841086,0.000483823279141758,0.0104410795735081,"sampling"
"SEFA.16608",84.7224678524765,-0.503645074515774,0.13358412628486,-3.77024642465214,0.00016308643444799,0.0055192706567888,"sampling"
"SEFA.16681",17.0032977814198,-0.542496593285198,0.161114864187881,-3.367141796753,0.000759516247755818,0.0137775622226652,"sampling"
"SEFA.16694",9.40179714048995,-0.653795179320612,0.153436923720345,-4.2610029155187,2.03511577979718e-05,0.00132900597886607,"sampling"
"SEFA.16778",18.8613604869907,1.98429202506963,0.564312614028552,3.51629925637145,0.000437607440957364,0.00996056636028548,"sampling"
"SEFA.16780",18.7350757023241,1.89523311980078,0.555217716947997,3.41349539459724,0.000641352425052285,0.0123318712742878,"sampling"
"SEFA.16800",75.5186024014043,-0.543749107236655,0.105968351116138,-5.13124061580165,2.87838674738774e-07,6.26564384320255e-05,"sampling"
"SEFA.16825",9.69917990029839,0.519425674256502,0.169683146184955,3.06115065600167,0.00220488121424606,0.0271863395591514,"sampling"
"SEFA.16859",72.9617809955056,0.501382345922942,0.0786578315764562,6.37422028899427,1.83896106923098e-10,2.95074708769507e-07,"sampling"
"SEFA.16917",3.91482606958881,0.589865699484407,0.210438302353074,2.80303391962709,0.00506243447528955,0.0456110601268806,"sampling"
"SEFA.17213",46.4707164631821,0.55828050051743,0.162549589636449,3.43452420744988,0.000593595051026948,0.011720344837298,"sampling"
"SEFA.17368",5.22876427024819,0.592992948049903,0.21462441033303,2.76293338269287,0.00572844568317084,0.0494390378294999,"sampling"
"SEFA.17420",23.3042643368669,0.531568346320056,0.170500389667677,3.11769578565854,0.0018227083773077,0.0240373927514506,"sampling"
"SEFA.17422",33.3229864626029,-0.523155044979288,0.141772206003441,-3.69011006971697,0.000224157040922381,0.0067446022961492,"sampling"
"SEFA.17441",8.69253890777104,-0.739628169948619,0.168832713539433,-4.3808344629601,1.18225666004408e-05,0.00093477800134068,"sampling"
"SEFA.17480",21.9026475766665,0.691787173815887,0.199012753817655,3.47609467506659,0.000508772644747054,0.0106540133873872,"sampling"
"SEFA.17482",46.3534384578769,0.509787236480132,0.173300372455548,2.94163958944113,0.0032647966094028,0.0348478266384147,"sampling"
"SEFA.17507",55.9729696733555,0.52017859915344,0.15219360210419,3.41787428618276,0.000631122506545317,0.0121883373881786,"sampling"
"SEFA.17590",26.6525961384912,0.606982946843849,0.211604570694847,2.8684774853903,0.00412452552565515,0.0401123188463054,"sampling"
"SEFA.17616",237.061826079114,0.502506737948088,0.157138943336364,3.19784979635791,0.00138456377130951,0.0200921564191518,"sampling"
"SEFA.17617",110.555895316174,0.540050268220496,0.160551071629313,3.36372882933716,0.000768970585320646,0.013859212072093,"sampling"
"SEFA.17664",109.090209919506,0.529808480749544,0.145911513767587,3.63102586676911,0.000282296886421728,0.00770504442939304,"sampling"
"SEFA.17665",10.2046327234053,1.12813362902551,0.27614236244201,4.0853334455789,4.40135631047571e-05,0.0022892246155253,"sampling"
"SEFA.17666",4.68258335053904,0.953059962068,0.286246159655565,3.32951178529277,0.00086998382311686,0.0151576628154115,"sampling"
"SEFA.17752",7.13826517057713,-1.21536971202823,0.434651846164272,-2.79619130288681,0.00517087827919235,0.046327706208699,"sampling"
"SEFA.17754",12.3690269567085,0.908065909580782,0.285910664346295,3.17604770586988,0.00149296397356199,0.0211437275356184,"sampling"
"SEFA.17755",2836.86915615996,-0.944516785898485,0.293140691283999,-3.22205962523102,0.0012727264640232,0.0192458945228619,"sampling"
"SEFA.60",8.98303005414929,1.28552114722571,0.353893682563754,3.63250662716795,0.00028068136503844,0.00857972995057488,"acclim"
"SEFA.74",26.8195896747595,-0.636215615474885,0.204890929319921,-3.10514290499158,0.00190187113239015,0.0278519865500856,"acclim"
"SEFA.75",53.0880353348671,-0.541680968683655,0.188187960556413,-2.87840394827635,0.00399692976428867,0.0436100653489714,"acclim"
"SEFA.104.1",559.659152292021,0.734879013707785,0.230160163358239,3.19290272906159,0.0014085038389109,0.0229951293404416,"acclim"
"SEFA.159",3897.72254264891,-0.597036338174624,0.136532148999231,-4.37286267410898,1.22627865563107e-05,0.00122850825318677,"acclim"
"SEFA.267",24.6232217402562,-0.570847947768352,0.189465452754105,-3.01293950675651,0.00258730486417714,0.0340359441497681,"acclim"
"SEFA.326",173.672030713009,0.542502982356771,0.183525163200732,2.95601416664266,0.00311642776343995,0.0376878287551256,"acclim"
"SEFA.367.1",5.28677876619814,1.32753098639244,0.398857267327541,3.32833596160169,0.000873664388382539,0.0169810650762423,"acclim"
"SEFA.467",77.3412563639215,0.636245019152054,0.168714478150819,3.77113467750701,0.000162506933560752,0.0060449836551544,"acclim"
"SEFA.496",68.6361805944961,-0.536193976626884,0.134065008302897,-3.99950727944942,6.34744955131145e-05,0.00360231370316609,"acclim"
"SEFA.509.1",2.06762331967462,-0.993984025267578,0.331472055422946,-2.99869629733731,0.00271137431226606,0.034798232794266,"acclim"
"SEFA.553",20.4546038007829,-0.803791047850815,0.229651941904313,-3.50004028350748,0.000465187853587633,0.0117174174777959,"acclim"
"SEFA.569",50.1653284725348,0.607567024490076,0.193671006592831,3.13710882789705,0.00170622782495823,0.0259101410481941,"acclim"
"SEFA.640",5.47043803313088,0.922740310986839,0.281315272911513,3.28009319023744,0.00103772802977429,0.01909939522023,"acclim"
"SEFA.671",95.9462142496026,0.734415190054272,0.18915863575476,3.8825358785439,0.0001033727579576,0.00463209622574362,"acclim"
"SEFA.744",16.6494334371357,-0.744538546248998,0.152653562603696,-4.87730868215567,1.07543071336905e-06,0.0003025573220731,"acclim"
"SEFA.832",635.228825370058,0.563004210518838,0.17563224290611,3.2055857239141,0.0013478789133759,0.0226259157339033,"acclim"
"SEFA.884.1",7.95401025125695,0.5198756653534,0.163997664503866,3.1700187129259,0.00152429120632036,0.0240181434761757,"acclim"
"SEFA.910",8.18455807289105,0.960773054223268,0.311480579315066,3.08453598081772,0.00203869948638722,0.0291299427422848,"acclim"
"SEFA.912",32.6386680086001,0.506328957007767,0.145489124349418,3.48018423557028,0.00050106908803956,0.0122461633314696,"acclim"
"SEFA.916.1",143.409838181821,0.809633247839529,0.176204610908983,4.59484711360782,4.33066670272396e-06,0.000658261338814042,"acclim"
